Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1966,NA,NA,NA,NA,9.903967181,12.93990573,13.39772378,12.04901507,13.6041048,11.86156485,10.55498542,10.80753931
1967,9.958677116,10.29995695,10.22642876,11.13174779,12.02402584,12.56089066,12.69148035,12.6192799,13.63528214,13.13475434,11.79478581,9.604191746
1968,9.118577593,10.42033935,11.42429472,11.2066524,12.10938133,13.4829922,12.8336146,13.11308923,13.39256386,11.84040274,11.07331573,10.30622872
1969,9.203284452,9.008129223,10.00060797,11.34290129,11.49799625,13.08005708,12.55643066,11.91390862,11.70721021,11.84929696,10.73991363,10.2442387
1970,10.23567462,10.3796584,10.89423033,10.20541966,10.86903907,11.57820797,11.86910626,11.4324528,10.89824046,9.920261886,11.4345665,9.832005068
1971,8.620671487,8.783415403,9.124556162,10.31486615,10.99061576,13.74866371,12.36160489,14.53815277,12.51153071,11.03094359,9.955010592,8.911453279
1972,8.384130624,9.095302688,10.40723298,10.80371727,12.09319366,12.66444217,13.2530804,13.25702571,11.99081455,10.34799302,11.0790355,9.244241805
1973,9.437960954,10.28667337,10.56737386,11.50627082,12.23223938,12.9979203,11.92236132,11.80520148,12.31742446,11.53101619,11.07817186,10.72466135
1974,9.272654235,9.313430069,9.635700336,10.58158637,11.27590419,10.94656724,12.84497944,12.44377569,12.36544634,10.41813607,10.67385639,10.63748788
1975,9.468955963,9.106925817,9.608351798,9.884198648,11.46101061,11.13357047,12.7711818,11.88807944,12.09981367,12.0677934,11.24312673,9.766029975
1976,9.038125328,8.50962615,9.165554106,9.733651458,10.82105482,11.51058249,12.91065934,13.03710873,11.51902622,10.88901907,11.91234545,9.404273934
1977,9.770050343,10.8084227,10.1461235,10.17865124,11.49613189,11.93324172,11.45645738,12.72292329,12.94856035,11.27564103,11.20100998,10.66887033
1978,11.28787364,11.23976992,11.62120419,11.09300403,10.86924034,12.77475623,11.98010992,12.10061665,14.13216189,11.63406453,9.595305348,8.869610016
1979,8.69897467,9.101114252,10.24037651,11.09300403,11.22049352,11.347983,13.47765828,13.96164559,14.66905687,12.51520838,12.57408891,11.51503409
