date,buoyid,value,type
2009-12-31,46041,8.899999619,obs
2009-12-31,46050,10.19999981,obs
2009-12-31,46087,NA,obs
2009-12-31,46211,NA,obs
2009-12-31,46041,8.899999619,mle
2009-12-31,46050,10.19999981,mle
2009-12-31,46087,4.055041260497001,mle
2009-12-31,46211,8.505404506948656,mle
2010-01-01,46041,9.079166651,obs
2010-01-01,46050,10.30833344,obs
2010-01-01,46087,NA,obs
2010-01-01,46211,8.560416778,obs
2010-01-01,46041,9.079166651000001,mle
2010-01-01,46050,10.30833344,mle
2010-01-01,46087,4.123711437415455,mle
2010-01-01,46211,8.560416778,mle
2010-01-02,46041,9.195833365,obs
2010-01-02,46050,10.40833322,obs
2010-01-02,46087,NA,obs
2010-01-02,46211,8.997826265,obs
2010-01-02,46041,9.195833365000002,mle
2010-01-02,46050,10.40833322,mle
2010-01-02,46087,4.242422913679899,mle
2010-01-02,46211,8.997826265000002,mle
2010-01-03,46041,8.570833246,obs
2010-01-03,46050,10.46249986,obs
2010-01-03,46087,NA,obs
2010-01-03,46211,8.675555653,obs
2010-01-03,46041,8.570833246,mle
2010-01-03,46050,10.46249986,mle
2010-01-03,46087,4.112636047041177,mle
2010-01-03,46211,8.675555653,mle
2010-01-04,46041,9.264999914,obs
2010-01-04,46050,10.46190462,obs
2010-01-04,46087,NA,obs
2010-01-04,46211,8.817499971,obs
2010-01-04,46041,9.264999914,mle
2010-01-04,46050,10.46190462,mle
2010-01-04,46087,4.260489238452558,mle
2010-01-04,46211,8.817499971,mle
2010-01-05,46041,9.454166492,obs
2010-01-05,46050,10.5,obs
2010-01-05,46087,NA,obs
2010-01-05,46211,9.063043491,obs
2010-01-05,46041,9.454166492000002,mle
2010-01-05,46050,10.5,mle
2010-01-05,46087,4.350086185369105,mle
2010-01-05,46211,9.063043490999998,mle
2010-01-06,46041,9.304166595,obs
2010-01-06,46050,10.44999981,obs
2010-01-06,46087,NA,obs
2010-01-06,46211,9.006250004,obs
2010-01-06,46041,9.304166595,mle
2010-01-06,46050,10.44999981,mle
2010-01-06,46087,4.322499516307876,mle
2010-01-06,46211,9.006250004,mle
2010-01-07,46041,9.341666619,obs
2010-01-07,46050,10.45909075,obs
2010-01-07,46087,NA,obs
2010-01-07,46211,8.612765901,obs
2010-01-07,46041,9.341666619000002,mle
2010-01-07,46050,10.45909075,mle
2010-01-07,46087,4.280441621172842,mle
2010-01-07,46211,8.612765900999998,mle
2010-01-08,46041,9.39545419,obs
2010-01-08,46050,10.53333346,obs
2010-01-08,46087,NA,obs
2010-01-08,46211,8.716666579,obs
2010-01-08,46041,9.39545419,mle
2010-01-08,46050,10.533333460000001,mle
2010-01-08,46087,4.33135081615776,mle
2010-01-08,46211,8.716666579,mle
2010-01-09,46041,9.399999619,obs
2010-01-09,46050,10.59166694,obs
2010-01-09,46087,NA,obs
2010-01-09,46211,9.21875002,obs
2010-01-09,46041,9.399999619000003,mle
2010-01-09,46050,10.59166694,mle
2010-01-09,46087,4.435749420873284,mle
2010-01-09,46211,9.21875002,mle
2010-01-10,46041,9.452173731,obs
2010-01-10,46050,10.54583327,obs
2010-01-10,46087,NA,obs
2010-01-10,46211,9.26666671,obs
2010-01-10,46041,9.452173731000002,mle
2010-01-10,46050,10.54583327,mle
2010-01-10,46087,4.458121762013072,mle
2010-01-10,46211,9.26666671,mle
2010-01-11,46041,9.650000095,obs
2010-01-11,46050,10.53750002,obs
2010-01-11,46087,NA,obs
2010-01-11,46211,9.120000119,obs
2010-01-11,46041,9.650000095,mle
2010-01-11,46050,10.53750002,mle
2010-01-11,46087,4.478658190548838,mle
2010-01-11,46211,9.120000119000002,mle
2010-01-12,46041,9.870833119,obs
2010-01-12,46050,10.84166638,obs
2010-01-12,46087,NA,obs
2010-01-12,46211,9.247826079,obs
2010-01-12,46041,9.870833119,mle
2010-01-12,46050,10.841666379999998,mle
2010-01-12,46087,4.597168797355553,mle
2010-01-12,46211,9.247826078999998,mle
2010-01-13,46041,9.920833349,obs
2010-01-13,46050,10.899999619999999,obs
2010-01-13,46087,NA,obs
2010-01-13,46211,9.576086957,obs
