date,buoyid,obs,mle
2009-12-31,46041,8.9,8.9
2009-12-31,46050,10.2,10.2
2009-12-31,46087,NA,4.0551
2009-12-31,46211,NA,8.5054
2010-01-01,46041,9.0792,9.0792
2010-01-01,46050,10.3083,10.3083
2010-01-01,46087,NA,4.1238
2010-01-01,46211,8.5604,8.5604
2010-01-02,46041,9.1958,9.1958
2010-01-02,46050,10.4083,10.4083
2010-01-02,46087,NA,4.2425
2010-01-02,46211,8.9978,8.9978
2010-01-03,46041,8.5708,8.5708
2010-01-03,46050,10.4625,10.4625
2010-01-03,46087,NA,4.1127
2010-01-03,46211,8.6756,8.6756
2010-01-04,46041,9.265,9.265
2010-01-04,46050,10.4619,10.4619
2010-01-04,46087,NA,4.2606
2010-01-04,46211,8.8175,8.8175
2010-01-05,46041,9.4542,9.4542
2010-01-05,46050,10.5,10.5
2010-01-05,46087,NA,4.3502
2010-01-05,46211,9.063,9.063
2010-01-06,46041,9.3042,9.3042
2010-01-06,46050,10.45,10.45
2010-01-06,46087,NA,4.3226
2010-01-06,46211,9.0063,9.0063
2010-01-07,46041,9.3417,9.3417
2010-01-07,46050,10.4591,10.4591
2010-01-07,46087,NA,4.2805
2010-01-07,46211,8.6128,8.6128
2010-01-08,46041,9.3955,9.3955
2010-01-08,46050,10.5333,10.5333
2010-01-08,46087,NA,4.3314
2010-01-08,46211,8.7167,8.7167
2010-01-09,46041,9.4,9.4
2010-01-09,46050,10.5917,10.5917
2010-01-09,46087,NA,4.4358
2010-01-09,46211,9.2188,9.2188
2010-01-10,46041,9.4522,9.4522
2010-01-10,46050,10.5458,10.5458
2010-01-10,46087,NA,4.4582
2010-01-10,46211,9.2667,9.2667
2010-01-11,46041,9.65,9.65
2010-01-11,46050,10.5375,10.5375
2010-01-11,46087,NA,4.4787
2010-01-11,46211,9.12,9.12
2010-01-12,46041,9.8708,9.8708
2010-01-12,46050,10.8417,10.8417
2010-01-12,46087,NA,4.5973
2010-01-12,46211,9.2478,9.2478
2010-01-13,46041,9.9208,9.9208
2010-01-13,46050,10.9,10.9
2010-01-13,46087,NA,4.6811
2010-01-13,46211,9.5761,9.5761
2010-01-14,46041,10.0792,10.0792
2010-01-14,46050,10.9,10.9
2010-01-14,46087,NA,4.7425
2010-01-14,46211,9.7152,9.7152
2010-01-15,46041,10.15,10.15
2010-01-15,46050,10.9565,10.9565
2010-01-15,46087,NA,4.7892
2010-01-15,46211,9.7935,9.7935
2010-01-16,46041,9.9667,9.9667
2010-01-16,46050,10.9625,10.9625
2010-01-16,46087,NA,4.671
2010-01-16,46211,9.15,9.15
2010-01-17,46041,10.05,10.05
2010-01-17,46050,11.0708,11.0708
2010-01-17,46087,NA,4.7932
2010-01-17,46211,9.634,9.634
2010-01-18,46041,10.1625,10.1625
2010-01-18,46050,10.8458,10.8458
2010-01-18,46087,NA,4.7961
2010-01-18,46211,9.6795,9.6795
2010-01-19,46041,10.1652,10.1652
2010-01-19,46050,10.9708,10.9708
2010-01-19,46087,NA,4.8426
2010-01-19,46211,9.7563,9.7563
2010-01-20,46041,10.1957,10.1957
2010-01-20,46050,11.0208,11.0208
2010-01-20,46087,NA,4.8998
2010-01-20,46211,9.9467,9.9467
2010-01-21,46041,10.1565,10.1565
2010-01-21,46050,11.1042,11.1042
2010-01-21,46087,NA,4.8973
2010-01-21,46211,9.8021,9.8021
2010-01-22,46041,10.2083,10.2083
2010-01-22,46050,11.0591,11.0591
2010-01-22,46087,NA,4.8812
2010-01-22,46211,9.6104,9.6104
