Forecast year:,2022,
Fish data file:,InterpolatedMSI,
Predictor data file:,OCNForecastData.csv,
"Var1","Var2","Var3","Forecast","R2","OCV"
"JACKRATIO","PDO.MJJ",NA,0.0551180000606701,0.570407000820716,0.410045856933659
"PDO.MJJ","SPR",NA,0.0686908761026806,0.335828654466166,-0.158955468006661
"JACKRATIO","JACKPEAK",NA,0.0564593366654457,0.576669814118062,0.376848114570803
"JACKRATIO","UWI.JAS",NA,0.0481077013628811,0.573626759861046,0.408132053043475
"PDO.MJJ","SSH.AMJ",NA,0.067616700025323,0.675457441018739,0.557815875761589
"SPR","JACKPEAK",NA,0.0669680664010417,0.388922112428562,0.00510673332168254
"PDO.MJJ","SST.AMJ",NA,0.0614464539951823,0.361457643997718,0.053531029115362
Ensemble Mean, , ,0.06021608,0.64,0.47,
Lower 90% P.I., , ,0.01843914,
Upper 90% P.I., , ,0.3155673,
