"Year" "Obs" "Forecast" "lowerCL" "upperCL"
2014 -3.04057502805737 -3.06125876204583 -4.04158791578668 -2.26361962992755
2015 -1.73870195051657 -2.76956528642355 -3.37708947274092 -2.00448703935911
2016 -3.73507212878222 -2.68836887974404 -3.47462335907022 -1.93788875274988
2017 -3.29346198356372 -2.7430040575142 -3.54390869465887 -1.9688998137992
2018 -3.05484421589625 -2.95702786186448 -4.01451937730839 -1.90582488901183
2019 -3.05190519521966 -3.34751975731335 -4.39196686366446 -2.26339846616187
2020 -3.41380344219981 -3.35541147219847 -4.24492303266662 -2.49146742188535
2021 NA -3.33427281502597 -4.24121219693717 -2.40979161723442
2022 NA -2.58519203114135 NA NA
2023 NA -2.74022156397156 NA NA
2024 NA -2.62068961407542 NA NA
2025 NA -2.6080187723295 NA NA
