BroodYear,Site,MSAdj
1996,Cascade,0.007667012000000001
1996,NF Nehalem Total,0.018405189999999988
1996,SiletzMill,0.018808136999999996
1996,West Fork Smith,0.012813717000000002
1996,Winchester Creek,0.020145703121237448
1996,YaquinaMill,0.014116308999999992
1997,Cascade,0.04151847399999997
1997,NF Nehalem Total,0.03405885199999999
1997,SiletzMill,0.032310324
1997,West Fork Smith,0.05080406600000002
1997,Winchester Creek,0.0471725153690739
1997,YaquinaMill,0.03908702100000003
1998,Cascade,0.07634598097119441
1998,NF Nehalem Total,0.063064404
1998,SiletzMill,0.07933732099999999
1998,West Fork Smith,0.09154585299999997
1998,Winchester Creek,0.09074714599999996
1998,YaquinaMill,0.143886254
1999,Cascade,0.06452080099999999
1999,NF Nehalem Total,0.034735623999999986
1999,SiletzMill,0.06942432999999998
1999,West Fork Smith,0.15843487200000006
1999,Winchester Creek,0.05041941
1999,YaquinaMill,0.15689563900000003
2000,Cascade,0.052097366000000006
2000,NF Nehalem Total,0.088254808
2000,SiletzMill,0.05889476099999999
2000,West Fork Smith,0.21419722800000002
2000,Winchester Creek,0.04013304499999998
2000,YaquinaMill,0.198523375
2001,Cascade,0.044071469
2001,NF Nehalem Total,0.065526005
2001,SiletzMill,0.029007325999999993
2001,West Fork Smith,0.05477209799999998
2001,Winchester Creek,0.03448614299999997
2001,YaquinaMill,0.13103023400000005
2002,Cascade,0.096091545
2002,NF Nehalem Total,0.031173377999999995
2002,SiletzMill,0.034894918000000004
2002,West Fork Smith,0.06099985100000001
2002,Winchester Creek,0.027241196
2002,YaquinaMill,0.06284685399999998
2003,Cascade,0.014087880000000006
2003,NF Nehalem Total,0.039698370999999975
2003,SiletzMill,0.019496049999999997
2003,West Fork Smith,0.02327098099999999
2003,Winchester Creek,0.028014673999999958
2003,YaquinaMill,0.038297881000000006
2004,Cascade,0.023988566000000006
2004,NF Nehalem Total,0.045094755
2004,SiletzMill,0.01938689
2004,West Fork Smith,0.013079769000000002
2004,Winchester Creek,0.0015213509999999993
2004,YaquinaMill,0.029982610000000017
2005,Cascade,0.04412251600000002
2005,NF Nehalem Total,0.08255879600000007
2005,SiletzMill,0.06418527400000006
2005,West Fork Smith,0.03826783300000003
2005,Winchester Creek,0.004530523999999999
2005,YaquinaMill,0.150614385
2006,Cascade,0.07884030400000004
2006,NF Nehalem Total,0.10614034300000005
2006,SiletzMill,0.075662979
2006,West Fork Smith,0.07891872700000005
2006,Winchester Creek,0.03341378400000003
2006,YaquinaMill,0.241969535
2007,Cascade,0.024648213999999977
2007,NF Nehalem Total,0.18719189099999994
2007,SiletzMill,0.05317736700000001
2007,West Fork Smith,0.07878287199999998
2007,Winchester Creek,0.021772484
2007,YaquinaMill,0.15291213000000003
2008,Cascade,0.06135115199999997
2008,NF Nehalem Total,0.09955450699999997
