Forecast year:,2025,
Fish data file:,OCNForecastData.csv,
Predictor data file:,OCNForecastData.csv,
"Var1","Var2","Var3","Forecast","R2","OCV"
"JACKRATIO","PDO.MJJ",NA,0.104734085695851,0.66493636235958,0.59153969775066
"PDO.MJJ","SPR",NA,0.101753373576307,0.294363661574776,-0.278274471236266
"JACKRATIO","JACKPEAK",NA,0.0567830356866628,0.638386817070086,0.474982713855296
"JACKRATIO","UWI.JAS",NA,0.0564468187257781,0.678797849454178,0.591410887124848
"PDO.MJJ","SSH.AMJ",NA,0.0828174139864596,0.591003561983962,0.299142540008461
"SPR","JACKPEAK",NA,0.0559372726742839,0.30690864323089,-0.219403900259241
"PDO.MJJ","SST.AMJ",NA,0.081338260884684,0.305239916156796,-0.0228067534121046
Ensemble Mean, , ,0.07481396,0.66,0.48,
Lower 90% P.I., , ,0.02974343,
Upper 90% P.I., , ,0.2853967,
