Forecast year:,2025,
Fish data file:,OCNForecastData.csv,
Predictor data file:,OCNForecastData.csv,
"Var1","Var2","Var3","Forecast","R2","OCV"
"JACKRATIO","PDO.MJJ",NA,0.0913487695769204,0.577895087070678,0.407906462602125
"PDO.MJJ","SPR",NA,0.0845476272477361,0.477497086644215,0.271217800283689
"JACKRATIO","JACKPEAK",NA,0.0448658640462447,0.631746901429428,0.436611546570572
"JACKRATIO","UWI.JAS",NA,0.0463426074548083,0.522417264159638,0.342692865271223
"PDO.MJJ","SSH.AMJ",NA,0.0574709629293188,0.68587374052475,0.557864740892058
"SPR","JACKPEAK",NA,0.0443089543219039,0.500871795255662,0.261431291147681
"PDO.MJJ","SST.AMJ",NA,0.0686626425331817,0.398488363478926,0.13390533618897
Ensemble Mean, , ,0.06018557,0.68,0.53,
Lower 90% P.I., , ,0.02640786,
Upper 90% P.I., , ,0.2259086,
