"Year" "Obs" "Forecast" "lowerCL" "upperCL"
2014 -3.04057502805737 -3.06125876204593 -4.04167600830685 -2.26349425656039
2015 -1.73870195051657 -2.76956528642251 -3.37740469934415 -2.00475609398894
2016 -3.73507212878222 -2.68836887974406 -3.47454842864405 -1.93719781827535
2017 -3.29346198356372 -2.74300405751448 -3.54453856412583 -1.9703004981034
2018 -3.05484421589625 -2.95702786186382 -4.01376924846146 -1.90691819311628
2019 -3.05190519521966 -3.34751975731239 -4.39263882668754 -2.26166218871739
2020 -3.41380344219981 -3.35541147219757 -4.2459073872072 -2.49066878422778
2021 -2.87205292180505 -3.334272815027 -4.2403581270499 -2.40837586893663
2022 -2.06080355996244 -2.63336830460747 -3.99501366691125 -1.15412675853952
2023 -2.48986916435921 -2.74771047382425 -3.55723323731176 -1.91725225065542
2024 -2.57830593838476 -2.61354008999247 -3.52979571178546 -1.66398342435497
2025 -2.78718942116679 -2.61411503965626 -3.59556971251255 -1.51361972492129
